Test / Environment,Remote ubuntu fresh install,Cent OS fresh install,Rocket cluster GPFS,Rocket cluster Local HDD,Vedur cluster GPFS,Vedur cluster Local HDD
ior_easy_read (GB/s),0.089,1.721,0.11,0.006,0.374,0.06
ior_easy_write (GB/s),0.407,0.307,0.108,0.047,0.289,0.091
ior_hard_read (GB/s),0.036,3.116,0.109,0.004,0.415,0.059
ior_hard_write (GB/s),0.438,0.396,0.08,0.032,0.154,0.079
mdtest_hard_read (kiops),0.559,13.531,0.293,0.138,0.285,7.043
mdtest_easy_write (kiops),48.614,20.651,1.719,58.735,1.236,38.48
mdtest_hard_write (kiops),48.253,18.767,1.278,34.354,0.863,9.34
mdtest_easy_stat (kiops),162.543,393.721,2.748,567.367,2.466,341.214
mdtest_hard_stat (kiops),192.801,335.202,1.566,764.587,1.408,358.393
mdtest_easy_delete (kiops),115.871,28.907,0.365,10.409,0.942,46.552
mdtest_hard_delete (kiops),82.923,30.441,0.385,2.315,0.557,19.692
find (kiops),279.6,165.25,10.85,300.07,11.56,167.63
